,question,keywords,stopwords_lemma,stopwords,functional,functional_lemma,pairsAN,pairsNA,quotations,capitalLetters
176,Z kim 30 listopada 1988 roku Lech Wałęsa przeprowadził debatę telewizyjną ?,"(30 listopada 1988 roku, Lech Wałęsa)",kto 30 listopad 1988 Lech Wałęsa przeprowadzić debata telewizyjny,kim 30 listopada 1988 Lech Wałęsa przeprowadził debatę telewizyjną,30 listopada 1988 roku Lech Wałęsa przeprowadził debatę telewizyjną,30 listopad 1988 rok Lech Wałęsa przeprowadzić debata telewizyjny,"['30 listopada', '1988 roku']","['listopada 1988', 'debatę telewizyjną']",[],['Lech Wałęsa']
177,Ile mililitrów krwi przepływa przez nerki dorosłego człowieka w ciągu minuty ?,(),mililitr krew przepływać nerka dorosły człowiek ciąg minuta,mililitrów krwi przepływa nerki dorosłego człowieka ciągu minuty,mililitrów krwi przepływa nerki dorosłego człowieka ciągu minuty,mililitr krew przepływać nerka dorosły człowiek ciąg minuta,['dorosłego człowieka'],['nerki dorosłego'],[],[]
178,W którym roku niemiecki majster piekarniczy Karol Wedel założył w Warszawie fabrykę słodyczy ?,"(niemiecki, Karol Wedel, Warszawie)",niemiecki majster piekarniczy Karol Wedel założyć Warszawa fabryka słodycze,niemiecki majster piekarniczy Karol Wedel założył Warszawie fabrykę słodyczy,roku niemiecki majster piekarniczy Karol Wedel założył Warszawie fabrykę słodyczy,rok niemiecki majster piekarniczy Karol Wedel założyć Warszawa fabryka słodycze,['niemiecki majster'],"['roku niemiecki', 'majster piekarniczy']",[],"['Karol Wedel', 'Karol Wedel Warszawie']"
179,Jakie barwy powstaną z połąćzenia barw czerwonej i żółtej?,(),barwa powstać połąć barwa czerwony żółty,barwy powstaną połąćzenia barw czerwonej żółtej,barwy powstaną połąćzenia barw czerwonej żółtej,barwa powstać połąć barwa czerwony żółty,[],['barw czerwonej'],[],[]
180,Jaki kształt ma reprezentacyjny gabinet prezydenta w Białym Domu ?,"(Białym Domu,)",kształt reprezentacyjny gabinet prezydent biały dom,kształt reprezentacyjny gabinet prezydenta Białym Domu,kształt ma reprezentacyjny gabinet prezydenta Białym Domu,kształt mieć reprezentacyjny gabinet prezydent biały dom,"['reprezentacyjny gabinet', 'Białym Domu']",[],[],[]
181,Jakie nakrycie głowy stosuje zawodnik dyscypliny ujeżdżenia ?,(),nakrycie głowa stosować zawodnik dyscyplina ujeżdżenie,nakrycie głowy stosuje zawodnik dyscypliny ujeżdżenia,nakrycie głowy stosuje zawodnik dyscypliny ujeżdżenia,nakrycie głowa stosować zawodnik dyscyplina ujeżdżenie,[],[],[],[]
182,Ilu korcom odpowiadał łaszt gdański ?,"(gdański,)",ile koriec odpowiadać łaszt gdański,Ilu korcom odpowiadał łaszt gdański,korcom odpowiadał łaszt gdański,koriec odpowiadać łaszt gdański,[],['łaszt gdański'],[],[]
183,W którym roku powstała „ Solidarność”?,"(„ Solidarność”,)",powstać solidarność,powstała Solidarność,roku powstała Solidarność,rok powstać solidarność,[],[],[],[]
184,Ile dni wynosi różnica pomiędzy kalendarzem juliańskim a gregoriańskim?,"(juliańskim, gregoriańskim)",dzień wynosić różnica pomiędzy kalendarz juliański gregoriański,dni wynosi różnica pomiędzy kalendarzem juliańskim gregoriańskim,dni wynosi różnica kalendarzem juliańskim gregoriańskim,dzień wynosić różnica kalendarz juliański gregoriański,[],['kalendarzem juliańskim'],[],[]
185,Jak długo Polska znajdowała się pod zaborami?,"(Polska,)",długo Polska znajdować zabór,długo Polska znajdowała zaborami,Jak długo Polska znajdowała zaborami,jak długo Polska znajdować zabór,[],[],[],['Polska']
186,W jakim stylu jest zbudowany kościół mariacki?,(),jaki styl zbudować kościół mariacki,jakim stylu zbudowany kościół mariacki,stylu zbudowany kościół mariacki,styl zbudować kościół mariacki,['zbudowany kościół'],['kościół mariacki'],[],[]
187,Jaką dzielnicę otrzymywał najstarszy syn za sprawą testamentu Bolesława Krzywoustego?,"(Bolesława Krzywoustego,)",jaki dzielnica otrzymywać stary syn sprawa testament Bolesław Krzywousty,Jaką dzielnicę otrzymywał najstarszy syn sprawą testamentu Bolesława Krzywoustego,dzielnicę otrzymywał najstarszy syn sprawą testamentu Bolesława Krzywoustego,dzielnica otrzymywać stary syn sprawa testament Bolesław Krzywousty,['najstarszy syn'],[],[],[]
188,Jaki system społeczno-gospodarczy panował w średniowiecznej Europie?,"(Europie,)",system społeczny gospodarczy panować średniowieczny Europa,system społeczno gospodarczy panował średniowiecznej Europie,system społeczno gospodarczy panował średniowiecznej Europie,system społeczny gospodarczy panować średniowieczny Europa,[],['system społeczno'],[],[]
189,Jaka jest największa liczba trzycyfrowa?,(),jaki duży liczba trzycyfrowy,Jaka największa liczba trzycyfrowa,największa liczba trzycyfrowa,duży liczba trzycyfrowy,['największa liczba'],['liczba trzycyfrowa'],[],[]
190,Jaka jest najmniejsza wspólna wielokrotność liczby 2 i 3?,(),jaki mały wspólny wielokrotność liczba 2 3,Jaka najmniejsza wspólna wielokrotność liczby 2 3,najmniejsza wspólna wielokrotność liczby,mały wspólny wielokrotność liczba,['wspólna wielokrotność'],[],[],[]
191,Kiedy rozpoczęła się pierwsza wojna punicka?,(),rozpocząć pierwszy wojna punicki,rozpoczęła pierwsza wojna punicka,Kiedy rozpoczęła pierwsza wojna punicka,kiedy rozpocząć pierwszy wojna punicki,['pierwsza wojna'],['wojna punicka'],[],[]
192,Ile tez przybił na drzwiach kościoła w Wittenberdze Marcin Luter w1517 roku?,"(Wittenberdze, Marcin Luter)",tez przybić drzwi kościół Wittenber Marcin Luter w1517,tez przybił drzwiach kościoła Wittenberdze Marcin Luter w1517,przybił drzwiach kościoła Wittenberdze Marcin Luter w1517 roku,przybić drzwi kościół Wittenber Marcin Luter w1517 rok,['w1517 roku'],[],[],['Wittenberdze Marcin Luter']
193,Gdzie urodził się Jerzy Fryderyk Haendel?,"(Jerzy Fryderyk Haendel,)",urodzić Jerzy Fryderyk Haendel,urodził Jerzy Fryderyk Haendel,Gdzie urodził Jerzy Fryderyk Haendel,gdzie urodzić Jerzy Fryderyk Haendel,[],[],[],[]
194,"W jakim stylu namalowany jest obraz ""Krzyk"" Edvarda Muncha?","(Edvarda Muncha,)",jaki styl namalować obraz krzyk Edvard Muncha,jakim stylu namalowany obraz Krzyk Edvarda Muncha,stylu namalowany obraz Krzyk Edvarda Muncha,styl namalować obraz krzyk Edvard Muncha,[],['stylu namalowany'],['Krzyk'],[]
195,W którym roku pojawił się fowizm?,(),pojawić fowizm,pojawił fowizm,roku pojawił fowizm,rok pojawić fowizm,[],[],[],[]
196,Na jakiej sztuce wzorował się klasycyzm?,(),jaki sztuka wzorować klasycyzm,jakiej sztuce wzorował klasycyzm,sztuce wzorował klasycyzm,sztuka wzorować klasycyzm,[],[],[],[]
197,Jakiego koloru nie używali impresjoniści?,(),jaki kolor używać impresjonista,Jakiego koloru używali impresjoniści,koloru używali impresjoniści,kolor używać impresjonista,[],[],[],[]
198,O której godzinie nastąpił atak na Westerplatte?,"(Westerplatte,)",godzina nastąpić atak Westerplatte,godzinie nastąpił atak Westerplatte,godzinie nastąpił atak Westerplatte,godzina nastąpić atak Westerplatte,[],[],[],[]
199,Którego dnia bóg stworzył zwierzęta?,"(bóg,)",dzień bóg stworzyć zwierzę,dnia bóg stworzył zwierzęta,dnia bóg stworzył zwierzęta,dzień bóg stworzyć zwierzę,[],[],[],[]
200,Jaki post obowiązuje w piątek?,(),posterunkowy obowiązywać piątek,post obowiązuje piątek,post obowiązuje piątek,posterunkowy obowiązywać piątek,[],[],[],[]
201,Kiedy został ustanowiony Najświętszy sakrament?,(),ustanowić święty sakrament,ustanowiony Najświętszy sakrament,Kiedy ustanowiony Najświętszy sakrament,kiedy ustanowić święty sakrament,['Najświętszy sakrament'],[],[],['Najświętszy']
202,Z ilu części składa się koncert barokowy?,(),ile część składać koncert barokowy,ilu części składa koncert barokowy,części składa koncert barokowy,część składać koncert barokowy,[],['koncert barokowy'],[],[]
203,Jakie nakrycie tradycyjnie zdobi głowy adwokatów angielskich?,"(angielskich,)",nakrycie tradycyjnie zdobić głowa adwokat angielski,nakrycie tradycyjnie zdobi głowy adwokatów angielskich,nakrycie tradycyjnie zdobi głowy adwokatów angielskich,nakrycie tradycyjnie zdobić głowa adwokat angielski,[],"['nakrycie tradycyjnie', 'adwokatów angielskich']",[],[]
204,Z którego państwa pochodziła projektantka mody Coco Channel,"(Coco Channel,)",państwo pochodzić projektantka moda Coco Channel,państwa pochodziła projektantka mody Coco Channel,państwa pochodziła projektantka mody Coco Channel,państwo pochodzić projektantka moda Coco Channel,[],[],[],[]
205,Jaki kolor miała ciżemka w tytule historycznej powieści dla młodzieży?,(),kolor mieć ciżemka tytuł historyczny powieść młodzież,kolor miała ciżemka tytule historycznej powieści młodzieży,kolor miała ciżemka tytule historycznej powieści młodzieży,kolor mieć ciżemka tytuł historyczny powieść młodzież,['historycznej powieści'],['tytule historycznej'],[],[]
206,Które miasto jest ośrodkiem administracyjnym obwodu leningradzkiego w Rosji?,"(Rosji,)",miasto ośrodek administracyjny obwód leningradzki Rosja,miasto ośrodkiem administracyjnym obwodu leningradzkiego Rosji,miasto ośrodkiem administracyjnym obwodu leningradzkiego Rosji,miasto ośrodek administracyjny obwód leningradzki Rosja,['administracyjnym obwodu'],"['ośrodkiem administracyjnym', 'obwodu leningradzkiego']",[],[]
207,Jak z języka niemieckiego nazywa się gumowy wąż do podlewania?,"(niemieckiego,)",język niemiecki nazywać gumowy wąż podlewać,języka niemieckiego nazywa gumowy wąż podlewania,Jak języka niemieckiego nazywa gumowy wąż podlewania,jak język niemiecki nazywać gumowy wąż podlewać,['gumowy wąż'],['języka niemieckiego'],[],[]
208,W którym kolorze są habity kapucynów,(),kolor habit kapucyn,kolorze habity kapucynów,kolorze są habity kapucynów,kolor być habit kapucyn,[],[],[],[]
209,Z czego produkowana jest kasza krakowska?,"(krakowska,)",co produkować kasza krakowski,czego produkowana kasza krakowska,produkowana kasza krakowska,produkować kasza krakowski,[],['kasza krakowska'],[],[]
210,Jak nazywa się miejscowość niedaleko Gniezna gdzie odkryto pozostałości osady z epoki żelaza?,"(Gniezna,)",nazywać miejscowość niedaleko Gniezno odkryć pozostałość osada epoka żelazo,nazywa miejscowość niedaleko Gniezna odkryto pozostałości osady epoki żelaza,Jak nazywa miejscowość Gniezna gdzie odkryto pozostałości osady epoki żelaza,jak nazywać miejscowość Gniezno gdzie odkryć pozostałość osada epoka żelazo,[],[],[],['Gniezna']
211,Jak z greki nazywamy ściankę wieńczącą front budynku?,(),greka nazywać ścianka wieńczyć front budynek,greki nazywamy ściankę wieńczącą front budynku,Jak greki nazywamy ściankę wieńczącą front budynku,jak greka nazywać ścianka wieńczyć front budynek,['wieńczącą front'],['ściankę wieńczącą'],[],[]
212,Jakim powstaniem dowodził Romuald Traugutt?,"(Romuald Traugutt,)",jaki powstać dowodzić Romuald Traugutt,Jakim powstaniem dowodził Romuald Traugutt,powstaniem dowodził Romuald Traugutt,powstać dowodzić Romuald Traugutt,[],[],[],[]
213,Jaki zapach ma gaz szlachetny hel?,(),zapach gaz szlachetny hel,zapach gaz szlachetny hel,zapach ma gaz szlachetny hel,zapach mieć gaz szlachetny hel,[],['gaz szlachetny'],[],[]
214,Z którego owocu sok używany jest przy dekoracji kawalerów uśmiechu?,(),owoc sok używać dekoracja kawaler uśmiech,owocu sok używany dekoracji kawalerów uśmiechu,owocu sok używany dekoracji kawalerów uśmiechu,owoc sok używać dekoracja kawaler uśmiech,[],['sok używany'],[],[]
215,Jak nazywał się kosmyk włosów na czubku ogolonej głowy u Kozaków?,"(Kozaków,)",nazywać kosmyk włos czubek ogolony głowa Kozak,nazywał kosmyk włosów czubku ogolonej głowy Kozaków,Jak nazywał kosmyk włosów czubku ogolonej głowy Kozaków,jak nazywać kosmyk włos czubek ogolony głowa Kozak,['ogolonej głowy'],['czubku ogolonej'],[],[]
216,Co Frodo za młodu zwykł wykradać Maggotowi?,"(Maggotowi,)",Frodo młodu zwyknąć wykradać Maggot,Frodo młodu zwykł wykradać Maggotowi,Frodo młodu zwykł wykradać Maggotowi,Frodo młodu zwyknąć wykradać Maggot,[],[],[],['Frodo']
217,Do jakiego stroju nie pasuje kwiatek?,(),jaki strój pasować kwiatek,jakiego stroju pasuje kwiatek,stroju pasuje kwiatek,strój pasować kwiatek,[],[],[],[]
218,"W którym roku miały miejsce tzw wydarzenia marcowe, obejmujące prostesty studenckie?",(),mieć miejsce tak zwany wydarzenie marcowy obejmować prostesty studencki,miały miejsce tzw wydarzenia marcowe obejmujące prostesty studenckie,roku miały miejsce wydarzenia marcowe obejmujące prostesty studenckie,rok mieć miejsce wydarzenie marcowy obejmować prostesty studencki,[],['wydarzenia marcowe'],[],[]
219,Do czego strzela się z broni śrutowej podczas konkurencji zwanej skeet?,(),co strzelać broń śrutowy konkurencja zwać skeeta,czego strzela broni śrutowej konkurencji zwanej skeet,strzela broni śrutowej konkurencji zwanej skeet,strzelać broń śrutowy konkurencja zwać skeeta,['zwanej skeet'],"['broni śrutowej', 'konkurencji zwanej']",[],[]
220,Którego dnia tygodnia przeżywamy wigilię paschalną?,(),dzień tydzień przeżywać wigilia paschalny,dnia tygodnia przeżywamy wigilię paschalną,dnia tygodnia przeżywamy wigilię paschalną,dzień tydzień przeżywać wigilia paschalny,[],['wigilię paschalną'],[],[]
221,Jak nazywa się słomiane pokrycie dachu?,(),nazywać słomiany pokrycie dach,nazywa słomiane pokrycie dachu,Jak nazywa słomiane pokrycie dachu,jak nazywać słomiany pokrycie dach,['słomiane pokrycie'],[],[],[]
222,Którą część garderoby się wzuwa lub zzuwa,(),który część garderoba wzuwać zzuwać,Którą część garderoby wzuwa zzuwa,część garderoby wzuwa zzuwa,część garderoba wzuwać zzuwać,[],[],[],[]
223,Jak nazywa sie wieża przy meczecie z której muezin wzywa do modlitwy?,(),nazywać wieża meczecie muezina wzywać modlitwa,nazywa wieża meczecie muezin wzywa modlitwy,Jak nazywa wieża meczecie muezin wzywa modlitwy,jak nazywać wieża meczecie muezina wzywać modlitwa,[],[],[],[]
224,W którym roku rozpoczęła się wyprawa Napoleona przeciw Rosji?,"(Napoleona, Rosji)",rozpocząć wyprawa Napoleon przeciw Rosja,rozpoczęła wyprawa Napoleona przeciw Rosji,roku rozpoczęła wyprawa Napoleona Rosji,rok rozpocząć wyprawa Napoleon Rosja,[],[],[],['Napoleona']
225,Co rzuca się pod nogi osobie której chcemy cos utrudnić?,(),rzucać noga osoba chcieć utrudnić,rzuca nogi osobie chcemy utrudnić,rzuca nogi osobie chcemy utrudnić,rzucać noga osoba chcieć utrudnić,[],[],[],[]
226,W którym stuleciu kobiety w Polsce uzyskały prawo głosowania?,"(Polsce,)",stulecie kobieta Polska uzyskać prawo głosować,stuleciu kobiety Polsce uzyskały prawo głosowania,stuleciu kobiety Polsce uzyskały prawo głosowania,stulecie kobieta Polska uzyskać prawo głosować,[],[],[],['Polsce']
227,W jakich latach obradował Sejm Wielki?,"(Sejm Wielki,)",jaki rok obradować sejm wielki,jakich latach obradował Sejm Wielki,latach obradował Sejm Wielki,rok obradować sejm wielki,[],['Sejm Wielki'],[],[]
228,Który wiek nazywa się Złotym Wiekiem Polskiej Kultury?,(),wiek nazywać Złoty wiek polski kultura,wiek nazywa Złotym Wiekiem Polskiej Kultury,wiek nazywa Złotym Wiekiem Polskiej Kultury,wiek nazywać Złoty wiek polski kultura,"['Złotym Wiekiem', 'Polskiej Kultury']",['Wiekiem Polskiej'],[],[]
229,O której godzinie zmarł papież Jan Paweł II?,"(Jan Paweł II,)",godzina zemrzeć papież Jan Paweł II,godzinie zmarł papież Jan Paweł II,godzinie zmarł papież Jan Paweł II,godzina zemrzeć papież Jan Paweł II,[],[],[],[]
230,W jaki dzień tygodnia Skawiński opuszczał wyspę?,"(Skawiński,)",dzień tydzień Skawiński opuszczać wyspa,dzień tygodnia Skawiński opuszczał wyspę,dzień tygodnia Skawiński opuszczał wyspę,dzień tydzień Skawiński opuszczać wyspa,[],[],[],['Skawiński']
231,Od którego roku w Wielkiej Brytanii rządzi królowa Elżbieta II?,"(Wielkiej Brytanii, Elżbieta II)",Wielki Brytania rządzić królowa Elżbieta II,Wielkiej Brytanii rządzi królowa Elżbieta II,roku Wielkiej Brytanii rządzi królowa Elżbieta II,rok Wielki Brytania rządzić królowa Elżbieta II,[],[],[],['Wielkiej Brytanii']
232,Z czego powinien być przygotowany oryginalny sznycel wiedeński?,"(wiedeński,)",co przygotować oryginalny sznycel wiedeński,czego przygotowany oryginalny sznycel wiedeński,powinien przygotowany oryginalny sznycel wiedeński,powinien przygotować oryginalny sznycel wiedeński,['oryginalny sznycel'],['sznycel wiedeński'],[],[]
233,W którym roku miał miejsce zamach terrorystyczny na World Trade Center i Pentagon ?,"(World Trade Center, Pentagon)",mieć miejsce zamach terrorystyczny World Trade Center Pentagon,miał miejsce zamach terrorystyczny World Trade Center Pentagon,roku miał miejsce zamach terrorystyczny World Trade Center Pentagon,rok mieć miejsce zamach terrorystyczny World Trade Center Pentagon,[],['zamach terrorystyczny'],[],['World Trade Center']
234,Co zbudował James Watt w 1783 roku?,"(James Watt, 1783 roku)",zbudować James Watt 1783,zbudował James Watt 1783,zbudował James Watt 1783 roku,zbudować James Watt 1783 rok,['1783 roku'],[],[],['James Watt']
235,Kiedy wybuchła rewolucja francuska?,"(francuska,)",wybuchnąć rewolucja francuski,wybuchła rewolucja francuska,Kiedy wybuchła rewolucja francuska,kiedy wybuchnąć rewolucja francuski,[],['rewolucja francuska'],[],[]
236,Kiedy odbyły się pierwsze igrzyska olimpijskie w Grecji?,"(Grecji,)",odbyć pierwszy igrzyska olimpijski Grecja,odbyły pierwsze igrzyska olimpijskie Grecji,Kiedy odbyły pierwsze igrzyska olimpijskie Grecji,kiedy odbyć pierwszy igrzyska olimpijski Grecja,['pierwsze igrzyska'],['igrzyska olimpijskie'],[],[]
237,W którym roku nastąpił upadek hellenistycznego Egiptu?,"(Egiptu,)",nastąpić upadek hellenistyczny Egipt,nastąpił upadek hellenistycznego Egiptu,roku nastąpił upadek hellenistycznego Egiptu,rok nastąpić upadek hellenistyczny Egipt,[],['upadek hellenistycznego'],[],[]
238,W jakich latach trwała wojna secesyjna?,(),jaki rok trwać wojna secesyjny,jakich latach trwała wojna secesyjna,latach trwała wojna secesyjna,rok trwać wojna secesyjny,[],['wojna secesyjna'],[],[]
239,Kiedy zakończyła się budowa kanału sueskiego?,(),zakończyć budowa kanał sueski,zakończyła budowa kanału sueskiego,Kiedy zakończyła budowa kanału sueskiego,kiedy zakończyć budowa kanał sueski,[],['kanału sueskiego'],[],[]
240,W którym roku zamordowano Johna Lennona?,"(Johna Lennona,)",zamordować John Lennon,zamordowano Johna Lennona,roku zamordowano Johna Lennona,rok zamordować John Lennon,[],[],[],[]
241,Od kogo wyszedł pomysł reaktywacji polskich mundurków?,"(polskich,)",kto wyjść pomysł reaktywacja polski mundurek,kogo wyszedł pomysł reaktywacji polskich mundurków,wyszedł pomysł reaktywacji polskich mundurków,wyjść pomysł reaktywacja polski mundurek,['polskich mundurków'],['reaktywacji polskich'],[],[]
242,W jakich latach miało miejsce powstanie styczniowe?,(),jaki rok mieć miejsce powstać styczniowy,jakich latach miało miejsce powstanie styczniowe,latach miało miejsce powstanie styczniowe,rok mieć miejsce powstać styczniowy,[],[],[],[]
243,Jaka jest w przybliżeniu odległość Księżyca od Ziemi?,"(Księżyca, Ziemi)",jaki przybliżyć odległość Księżyc Ziemia,Jaka przybliżeniu odległość Księżyca Ziemi,jest przybliżeniu odległość Księżyca Ziemi,być przybliżyć odległość Księżyc Ziemia,[],[],[],['Księżyca']
244,Jaki jest najmniejszy instrument smyczkowy?,(),mały instrument smyczkowy,najmniejszy instrument smyczkowy,najmniejszy instrument smyczkowy,mały instrument smyczkowy,['najmniejszy instrument'],['instrument smyczkowy'],[],[]
245,Czym toczy się fortuna?,(),co toczyć fortuna,Czym toczy fortuna,toczy fortuna,toczyć fortuna,[],[],[],[]
246,Jaką długość w metrach miał staropolski łokieć?,"(staropolski,)",jaki długość metr mieć staropolski łokieć,Jaką długość metrach miał staropolski łokieć,długość metrach miał staropolski łokieć,długość metr mieć staropolski łokieć,['staropolski łokieć'],[],[],[]
247,Gdzie umarła siostra Antka z noweli Bolesława Prusa?,"(Antka, Bolesława Prusa)",umrzeć siostra Antek nowela Bolesław Prusa,umarła siostra Antka noweli Bolesława Prusa,Gdzie umarła siostra Antka noweli Bolesława Prusa,gdzie umrzeć siostra Antek nowela Bolesław Prusa,[],[],[],['Antka']
248,W którym roku wybuchła I wojna światowa?,(),wybuchnąć wojna światowy,wybuchła wojna światowa,roku wybuchła wojna światowa,rok wybuchnąć wojna światowy,[],['wojna światowa'],[],['I']
249,W którym roku powstało państwo Izrael?,"(Izrael,)",powstać państwo Izrael,powstało państwo Izrael,roku powstało państwo Izrael,rok powstać państwo Izrael,[],[],[],[]
250,Jaki wynalazek zapoczątkował industrializację?,(),wynalazek zapoczątkować industrializacja,wynalazek zapoczątkował industrializację,wynalazek zapoczątkował industrializację,wynalazek zapoczątkować industrializacja,[],[],[],[]
251,Jak nazywa się najmniejsza średnica przewodu lufy broni palnej?,(),nazywać mały średnica przewód luf broń palny,nazywa najmniejsza średnica przewodu lufy broni palnej,Jak nazywa najmniejsza średnica przewodu lufy broni palnej,jak nazywać mały średnica przewód luf broń palny,['najmniejsza średnica'],['broni palnej'],[],[]
252,W czym osadzamy świecę?,(),co osadzać świeca,czym osadzamy świecę,osadzamy świecę,osadzać świeca,[],[],[],[]
253,Czego boi się pediofob?,(),co bać pediofob,Czego boi pediofob,boi pediofob,bać pediofob,[],[],[],[]
254,Na czyją cześć odbywają się Brumalia?,"(Brumalia,)",czyj cześć odbywać Brumalia,czyją cześć odbywają Brumalia,cześć odbywają Brumalia,cześć odbywać Brumalia,[],[],[],[]
255,W którym roku Ted Bundy po raz pierwszy porwał kobietę?,"(Ted Bundy,)",Ted Bundy raz pierwszy porwać kobieta,Ted Bundy raz pierwszy porwał kobietę,roku Ted Bundy raz pierwszy porwał kobietę,rok Ted Bundy raz pierwszy porwać kobieta,[],['raz pierwszy'],[],['Ted Bundy']
256,W którym roku w Rosji wybuchła rewolucja październikowa?,"(Rosji,)",Rosja wybuchnąć rewolucja październikowy,Rosji wybuchła rewolucja październikowa,roku Rosji wybuchła rewolucja październikowa,rok Rosja wybuchnąć rewolucja październikowy,[],['rewolucja październikowa'],[],['Rosji']
257,Kiedy podpisany został traktat lizboński?,"(lizboński,)",podpisać traktat lizboński,podpisany traktat lizboński,Kiedy podpisany traktat lizboński,kiedy podpisać traktat lizboński,[],['traktat lizboński'],[],[]
258,Gdzie podpisano traktat lizboński?,"(lizboński,)",podpisać traktat lizboński,podpisano traktat lizboński,Gdzie podpisano traktat lizboński,gdzie podpisać traktat lizboński,[],['traktat lizboński'],[],[]
259,W którym roku Czesław Miłosz dostał nagrodę Nobla?,"(Czesław Miłosz, Nobla)",Czesław Miłosz dostać nagroda Nobel,Czesław Miłosz dostał nagrodę Nobla,roku Czesław Miłosz dostał nagrodę Nobla,rok Czesław Miłosz dostać nagroda Nobel,[],[],[],['Czesław Miłosz']
260,Kiedy rozpoczął się Wielki Kryzys w Stanach Zjednoczonych?,"(Wielki Kryzys, Stanach Zjednoczonych)",rozpocząć wielki kryzys Stany Zjednoczone,rozpoczął Wielki Kryzys Stanach Zjednoczonych,Kiedy rozpoczął Wielki Kryzys Stanach Zjednoczonych,kiedy rozpocząć wielki kryzys Stany Zjednoczone,['Wielki Kryzys'],[],[],['Wielki Kryzys']
261,Od której godziny obowiązuje cisza nocna?,(),godzina obowiązywać cisza nocny,godziny obowiązuje cisza nocna,godziny obowiązuje cisza nocna,godzina obowiązywać cisza nocny,[],['cisza nocna'],[],[]
262,Jaki dzień tygodnia należy święcić?,(),dzień tydzień należeć święcić,dzień tygodnia należy święcić,dzień tygodnia należy święcić,dzień tydzień należeć święcić,[],[],[],[]
263,W którym roku Ludwik Pasteur odkrył penicylinę?,"(Ludwik Pasteur,)",Ludwik Pasteur odkryć penicylina,Ludwik Pasteur odkrył penicylinę,roku Ludwik Pasteur odkrył penicylinę,rok Ludwik Pasteur odkryć penicylina,[],[],[],['Ludwik Pasteur']
264,Kiedy wprowadzono w Polsce obowiązkowe szczepienie przeciwko wzw b?,"(Polsce, wzw)",wprowadzić Polska obowiązkowy szczepienie przeciwko wzw b,wprowadzono Polsce obowiązkowe szczepienie przeciwko wzw b,Kiedy wprowadzono Polsce obowiązkowe szczepienie wzw,kiedy wprowadzić Polska obowiązkowy szczepienie wzw,['obowiązkowe szczepienie'],[],[],['Polsce']
265,Kiedy odbyło się oficjalne otwarcie Empire State Building?,(),odbyć oficjalny otworzyć Empire State Building,odbyło oficjalne otwarcie Empire State Building,Kiedy odbyło oficjalne otwarcie Empire State Building,kiedy odbyć oficjalny otworzyć Empire State Building,['oficjalne otwarcie'],[],[],[]
266,W którym roku urodził się Henryk Sienkiewicz?,"(Henryk Sienkiewicz,)",urodzić Henryk Sienkiewicz,urodził Henryk Sienkiewicz,roku urodził Henryk Sienkiewicz,rok urodzić Henryk Sienkiewicz,[],[],[],[]
267,Kiedy odbył się ślub królowej Elżbiety ii i księcia Filipa?,"(Elżbiety, Filipa)",odbyć ślub królowa Elżbieta ii książę Filip,odbył ślub królowej Elżbiety ii księcia Filipa,Kiedy odbył ślub królowej Elżbiety ii księcia Filipa,kiedy odbyć ślub królowa Elżbieta ii książę Filip,[],['ślub królowej'],[],['Elżbiety']
268,Kiedy wykryto pierwszy przypadek koronawirusa w Polsce?,"(Polsce,)",wykryć pierwszy przypadek koronawirus Polska,wykryto pierwszy przypadek koronawirusa Polsce,Kiedy wykryto pierwszy przypadek koronawirusa Polsce,kiedy wykryć pierwszy przypadek koronawirus Polska,['pierwszy przypadek'],[],[],[]
